人工智能 智能系统指南（原书第3版）（结合实际代码、图示、案例讲解人工智能基本知识。入门书籍内容丰富、浅显易懂）,人工智能经常被人们认为是计算机科学中一门高度复杂甚至令人生畏的学科。长期以来人工智能方面的书籍往往包含复杂的矩阵代数和微分方程。本书基于作者多年面向微积分知识甚微的学生授课时所用的讲义，假定读者没有编程经验，以简单易懂的方式介绍了智能系统的基础知识。Michael Negnevitsky所著的《人工智能智能系统指南（原书第3版）》目前已经被国际上多所大学(例如，德国的马格德堡大学、日本的广岛大学、美国的波士顿大学和罗切斯特理工学院等)采纳为教材。如果您正在寻找关于人工智能或智能系统设计课程的浅显易懂的入门级教材，如果您不是计算机科学领域的专业人员而又正在寻找介绍基于知识系统****发展的自学指南，本书将是您的**选择。,38.50,4.5,(澳)尼格尼维斯基,人工智能
人工智能基础（高中版）（填补国内中小学教材空白，完善人工智能教育体系。人工智能技术入门，培养科技创新型人才，启迪学生了解人工智能相关知识。）,人工智能技术现已进入加速发展的新阶段，人工智能时代的来临，将对人类的社会生活产生深远的影响。发展人工智能将驱动经济发展，提升国家综合竞争力，并为社会发展带来新的机遇。建立人工智能学科，完善人工智能教育体系是新一代人工智能发展规划的重点任务之一。 《人工智能基础》是国内一本关于人工智能技术的教材，对人工智能的历史、发展和应用进行了深入阐述，力求启迪学生了解人工智能相关知识，从而为培养领先的科技创新型人才，壮大人工智能高端人才队伍奠定重要基础。,35.00,4.5,汤晓鸥，陈玉琨,人工智能
心智社会：从细胞到人工智能，人类思维的优雅解读人工智能之父、图灵奖得主马文.明斯基对科学和人性的浪漫主义解读。一本引领时代的著作，影响了凯文.凯利，艾萨克.阿西莫夫，侯世达和雷.库兹韦尔。豆瓣评分8.9分的大师经典,没有心智社会就没有智能。智慧从愚笨中来。 人工智能之父、图灵奖得主马文 明斯基，对科学和人性的浪漫主义解读。 一本引领时代的著作，影响了凯文 凯利，艾萨克 阿西莫夫，侯世达和雷 库兹韦尔。 豆瓣评分8.9分的大师经典,73.60,4.5,[美] 马文?明斯基（Marvin Minsky）、任楠 译,人工智能
揭秘深度强化学习 机器学习深度学习人工智能丛书 AlphaGo核心算法揭秘深度学习与强化学习的结合 AlphaGo核心算法 一本书读懂深度学习、强化学习、神经网络（CNN/RNN/RCNN）的底层算法 1000行代码源文件下载160多张学习示意图120多个公式,《揭秘深度强化学习 人工智能机器学习技术丛书》是一本详细介绍深度强化学习算法的入门类图书，涉及深度学习和强化学习的相关内容，是人工智能*前沿的研究方向。非常适合想在下一代技术领域立足的人工智能和机器学习算法从业者学习和参考。 机器学习的一个分支是神经网络；神经网络模拟人的大脑，形成神经网络模型，它可以包括很多层次，一般来讲层次越深学习效果越好，很多层的神经网络就是深度学习。 在传统的机器学习中，主要分为非监督学习（unsupervised learning）、监督学习（supervised leaning）和强化学习。强化学习是对决策的学习，简单来讲，强化学习就是用奖励机制，自己调节参数，让算法越来越聪明。 深度强化学习，研究的是如何通过深度学习的方法来解决强化学习的问题。也就是深度学习和强化学习的结合。 《揭秘深度强化学习,70.50,5.0,彭伟,人工智能
人工智能复杂问题求解的结构和策略（原书第6版）,,62.40,4.5,（美）卢格,人工智能
人工智能 签名套装“人工智能”被写入2017年政府工作报告，智能革命时代先行者李开复解读AI如何重塑个人、商业与社会的未来图谱,2017年是 人工智能应用元年 ，人工智能将引领一场比互联网影响更为深远的科技革命。 本书是全面了解人工智能的必读之作，秒杀你对人工智能的一切疑问，好读易懂，有趣有料。 创新工场董事长李开复、创新工场人工智能工程院副院长王咏刚携手解读：人工智能时代，个人与企业如何找到人机协作的新位置。 人工智能将颠覆现有的商业模式，不仅在高科技领域，任何企业都需要尽早引入 AI 的思维方式。 人工智能将部分取代人类的工作，程式化的、重复性的技能将失去价值。我们的工作必须具备足够的深度，让自己强大到不会轻易被机器撼动,198.00,3.0,李开复；王咏刚,人工智能
人工智能改变未来：工作方式、产业和社会的变革预见未来AI社会，纵观工作、产业、社会变革！ AI语境下客观看热潮，一本书读懂人工智能本质！,,53.70,0.0,野村直之,人工智能
智能时代：人工智能、超级计算与网络安全吴军、李彦宏、李开复都在提的智能时代已经到来。更符合本土环境，更具代表性的企业案例，更接地气的分析,人工智能作为新时代的技术新兴，已经带领人类社会进入全新的时代奇点，开始缔造一个全新的时代 智能时代！本书针对智能时代的关键技术领域：机器学习、人工智能、超级计算、网络安全等方面，通过丰富的本土企业案例，阐述分析企业在智能时代下的应对转型之策，这些企业的成功经验以及其中的可取之处值得我们细细品读及理解，从中总结出适合自己企业的智能化发展道路。,51.20,5.0,余来文，林晓伟，刘梦菲，刘修财 编著,人工智能
人工智能时代人工智能发展历史 实际应用 解密人工智能 机器学习 机器人未来发展书籍,对于人类来说，人工智能有着广阔的前景，同时也充满挑战。 人工智能时代，人类将面临哪些改变和困惑？ 人工智能的发展将会给人类社会带来哪些冲击和影响？ 当所有的工作都由超级智能机器人来完成时，预示着我们进入了一个不劳社会。机器是否会完全取代人类？ 但是，人类如何以150的智商控制百万智商的人工智能？ 本书围绕人工智能的历史、发展和应用，展开广泛的讨论和介绍，为读者解开心中关于人工智能的种种疑问。 翻开本书，了解人工智能是什么，以及人工智能将会怎样影响我们的生活和未来！,46.60,5.0,[美]Kalman Toth 托斯,人工智能
模式识别与人工智能（基于MATLAB）10余年模式识别领域教学与科研成果总结，理论知识系统全面，案例实践性强，所用数据为酒瓶颜色的RGB三基色原始数据，数据量大，信息丰富,《模式识别与人工智能（基于MATLAB）》以实用性、可操作性和实践性为宗旨，以酒瓶颜色分类的设计为例，将理论与实践相结合，介绍各种相关分类器设计。,70.30,0.0,周润景,人工智能
